X [mm],Y [mm],Z [mm],X/D [-],Y/D [-],Z/D [-],U/U_hub [-]
12080,-20,300,5,-0.048076923,0,0.618024451
12080,0,300,5,0,0,0.620274803
12080,20,300,5,0.048076923,0,0.62235205
12080,40,300,5,0.096153846,0,0.640527967
12080,60,300,5,0.144230769,0,0.652169209
12080,80,300,5,0.192307692,0,0.67073461
12080,100,300,5,0.240384615,0,0.69622417
12080,120,300,5,0.288461538,0,0.71998269
12080,140,300,5,0.336538462,0,0.739240506
12080,160,300,5,0.384615385,0,0.772476469
12080,180,300,5,0.432692308,0,0.793292221
12080,200,300,5,0.480769231,0,0.838039598
12080,210,300,5,0.504807692,0,0.836914422
12080,220,300,5,0.528846154,0,0.855652927
12080,240,300,5,0.576923077,0,0.873785567
12080,260,300,5,0.625,0,0.898755815
12080,280,300,5,0.673076923,0,0.935800065
12080,300,300,5,0.721153846,0,0.945147679
12080,320,300,5,0.769230769,0,0.971372931
12080,340,300,5,0.817307692,0,0.977345018
12080,360,300,5,0.865384615,0,0.981499513
12080,380,300,5,0.913461538,0,0.985654008
12080,400,300,5,0.961538462,0,0.979855025
12080,420,300,5,1.009615385,0,0.988077464
12080,440,300,5,1.057692308,0,0.988293844
12080,460,300,5,1.105769231,0,0.993530239
12080,480,300,5,1.153846154,0,0.994525587
12080,500,300,5,1.201923077,0,0.99006816
12080,520,300,5,1.25,0,0.991063508
12080,540,300,5,1.298076923,0,0.988683328
12496,-540,300,6,-1.298076923,0,1.016250135
12496,-520,300,6,-1.25,0,1.019971871
12496,-500,300,6,-1.201923077,0,1.017158931
12496,-480,300,6,-1.153846154,0,1.010537704
12496,-460,300,6,-1.105769231,0,1.006513037
12496,-440,300,6,-1.057692308,0,1.011965812
12496,-420,300,6,-1.009615385,0,0.998333874
12496,-400,300,6,-0.961538462,0,0.993530239
12496,-380,300,6,-0.913461538,0,0.994482311
12496,-360,300,6,-0.865384615,0,0.984701937
12496,-340,300,6,-0.817307692,0,0.971156551
12496,-320,300,6,-0.769230769,0,0.953283566
12496,-300,300,6,-0.721153846,0,0.931905226
12496,-280,300,6,-0.673076923,0,0.910007573
12496,-260,300,6,-0.625,0,0.885556637
12496,-240,300,6,-0.576923077,0,0.867423997
12496,-220,300,6,-0.528846154,0,0.844833928
12496,-210,300,6,-0.504807692,0,0.832846478
12496,-200,300,6,-0.480769231,0,0.817267121
12496,-180,300,6,-0.432692308,0,0.786973926
12496,-160,300,6,-0.384615385,0,0.763691442
12496,-140,300,6,-0.336538462,0,0.748025533
12496,-120,300,6,-0.288461538,0,0.722882181
12496,-100,300,6,-0.240384615,0,0.696570378
12496,-80,300,6,-0.192307692,0,0.683414476
12496,-60,300,6,-0.144230769,0,0.673158066
12496,-40,300,6,-0.096153846,0,0.664286487
12496,-20,300,6,-0.048076923,0,0.668267878
12496,0,300,6,0,0,0.666926323
12496,20,300,6,0.048076923,0,0.673720653
12496,40,300,6,0.096153846,0,0.676057557
12496,60,300,6,0.144230769,0,0.699469869
12496,80,300,6,0.192307692,0,0.713448015
12496,100,300,6,0.240384615,0,0.732446175
12496,120,300,6,0.288461538,0,0.751011576
12496,140,300,6,0.336538462,0,0.775722168
12496,160,300,6,0.384615385,0,0.796797577
12496,180,300,6,0.432692308,0,0.819517473
12496,200,300,6,0.480769231,0,0.842323921
12496,210,300,6,0.504807692,0,0.852190847
12496,220,300,6,0.528846154,0,0.861581738
12496,240,300,6,0.576923077,0,0.888759061
12496,260,300,6,0.625,0,0.91619604
12496,280,300,6,0.673076923,0,0.938569728
12496,300,300,6,0.721153846,0,0.948436655
12496,320,300,6,0.769230769,0,0.9656605
12496,340,300,6,0.817307692,0,0.965617224
12496,360,300,6,0.865384615,0,0.980374337
12496,380,300,6,0.913461538,0,0.987990912
12496,400,300,6,0.961538462,0,0.987082116
12496,420,300,6,1.009615385,0,0.992491615
12496,440,300,6,1.057692308,0,0.992491615
12496,460,300,6,1.105769231,0,0.992318511
12496,480,300,6,1.153846154,0,0.987558152
12496,500,300,6,1.201923077,0,0.993919723
12496,520,300,6,1.25,0,1.004349237
12496,540,300,6,1.298076923,0,1.00054095
12912,-540,300,7,-1.298076923,0,1.007367352
12912,-540,300,7,-1.298076923,0,0.999306698
12912,-520,300,7,-1.25,0,1.00359428
12912,-500,300,7,-1.201923077,0,1.002951143
12912,-480,300,7,-1.153846154,0,0.993218332
12912,-480,300,7,-1.153846154,0,1.000421469
12912,-460,300,7,-1.105769231,0,0.997162907
12912,-440,300,7,-1.057692308,0,0.99784892
12912,-420,300,7,-1.009615385,0,0.989402384
12912,-420,300,7,-1.009615385,0,0.999864084
12912,-400,300,7,-0.961538462,0,0.987987482
12912,-380,300,7,-0.913461538,0,0.971180161
12912,-360,300,7,-0.865384615,0,0.963548266
12912,-360,300,7,-0.865384615,0,0.963419638
12912,-340,300,7,-0.817307692,0,0.950256762
12912,-320,300,7,-0.769230769,0,0.942796369
12912,-300,300,7,-0.721153846,0,0.926632186
12912,-300,300,7,-0.721153846,0,0.918357153
12912,-280,300,7,-0.673076923,0,0.912311663
12912,-260,300,7,-0.625,0,0.886714799
12912,-240,300,7,-0.576923077,0,0.872522903
12912,-240,300,7,-0.576923077,0,0.866691792
12912,-220,300,7,-0.528846154,0,0.853957674
12912,-200,300,7,-0.480769231,0,0.81052447
12912,-180,300,7,-0.432692308,0,0.807051529
12912,-180,300,7,-0.432692308,0,0.798819371
12912,-160,300,7,-0.384615385,0,0.79165911
12912,-140,300,7,-0.336538462,0,0.768120286
12912,-120,300,7,-0.288461538,0,0.755386167
12912,-120,300,7,-0.288461538,0,0.749254925
12912,-100,300,7,-0.240384615,0,0.73403401
12912,-80,300,7,-0.192307692,0,0.735191657
12912,-60,300,7,-0.144230769,0,0.725458846
12912,-60,300,7,-0.144230769,0,0.718598715
12912,-40,300,7,-0.096153846,0,0.7203995
12912,-20,300,7,-0.048076923,0,0.715854663
12912,0,300,7,0,0,0.712253094
12912,20,300,7,0.048076923,0,0.723486559
12912,40,300,7,0.096153846,0,0.733776755
12912,60,300,7,0.144230769,0,0.744538585
12912,60,300,7,0.144230769,0,0.749083422
12912,80,300,7,0.192307692,0,0.756072181
12912,100,300,7,0.240384615,0,0.768120286
12912,120,300,7,0.288461538,0,0.786857018
12912,120,300,7,0.288461538,0,0.793888652
12912,140,300,7,0.336538462,0,0.803364208
12912,160,300,7,0.384615385,0,0.82548813
12912,180,300,7,0.432692308,0,0.827117412
12912,180,300,7,0.432692308,0,0.832734144
12912,200,300,7,0.480769231,0,0.840408915
12912,220,300,7,0.528846154,0,0.875438459
12912,240,300,7,0.576923077,0,0.889673231
12912,240,300,7,0.576923077,0,0.890573623
12912,260,300,7,0.625,0,0.915484473
12912,280,300,7,0.673076923,0,0.928818853
12912,300,300,7,0.721153846,0,0.945326043
12912,300,300,7,0.721153846,0,0.941510095
